Plant,Plant Name,Dist Channel,Material Code,Material Desc,MG 1 Code,MG-01(Brand),MG 2 Code,MG-02(Sub Brand),MG 3 Code,MG-03(Category),MG 4 Code,MG-04(Packaging format),MG 5 Code,MG-05(Sub Category),MG 6 Code,MG-06(Variant Type),MG 7 Code,MG-07(Variant/Shade),MG 8 Code,MG-08(Offer/Non Offer),MG 9 Code,MG-09(Product Name),MG 10 Code,MG-10(Base Sku),Direct Customer And Csa Customer,Customer Name,Customer Name,Customer Name,Quantity(Pcs),Quantity(Cs),Disc %(ZD02),Disc amt(ZD02),Disc %(ZD06),Disc amt(ZD06),CGST_Per,CGST,SGST_Per,SGST Amount,UGST_Per,UGST,IGST_Per,IGST,Net Value,Net Value Before Item Discount,Gross Amount,Sales Value @ Std Selling Value
2001,HRIPL - CHENNAI,10,7000000,STREAX PRO PRE HAIR COL CREM BLD-60 ML,1001,FLOROZONE,1011,C-GLOSS,112,HAIR CARE,1009,BOTTLE,1020,PETROLEUM JELLY,1008,BODY MIST LILY VANILLA,1012,BODY MIST PEACH LOVE,1003,DETTOL OFFER,1001,BRAHMOL HAIR OIL,1014,FLOROZONE BRIGHTENING LOT 200 ML,20010005,SMS AGENCIES,VELLORE,Tamil Nadu,8,0.16,0.000000000,0.00,0.000000000,0.00,9.000000000,68.18,0.000000000,0.00,0.000000000,0.00,0.000000000,0.00,757.60,757.60,825.78,757.600
2001,HRIPL - CHENNAI,10,7001412,SUPER VAS 33 KESH KAL - 100ML 65,102,,128,,117,,,,,,,,,,,,1002,DISINFECTANT FLOOR CLEANER,5008,,20010001,A.S.ENTERPRISES,CHENNAI,Tamil Nadu,5,0.10,8.000000000,18.39-,0.000000000,0.00,0.000000000,0.00,0.000000000,0.00,0.000000000,0.00,0.000000000,0.00,211.46,229.85,211.46,229.850
2001,HRIPL - CHENNAI,10,7000000,STREAX PRO PRE HAIR COL CREM BLD-60 ML,1001,FLOROZONE,1011,C-GLOSS,112,HAIR CARE,1009,BOTTLE,1020,PETROLEUM JELLY,1008,BODY MIST LILY VANILLA,1012,BODY MIST PEACH LOVE,1003,DETTOL OFFER,1001,BRAHMOL HAIR OIL,1014,FLOROZONE BRIGHTENING LOT 200 ML,20010005,SMS AGENCIES,VELLORE,Tamil Nadu,8,0.16,0.000000000,0.00,0.000000000,0.00,9.000000000,68.18,0.000000000,0.00,0.000000000,0.00,0.000000000,0.00,757.60,757.60,825.78,757.600
2001,HRIPL - CHENNAI,10,7000000,STREAX PRO PRE HAIR COL CREM BLD-60 ML,1001,FLOROZONE,1011,C-GLOSS,112,HAIR CARE,1009,BOTTLE,1020,PETROLEUM JELLY,1008,BODY MIST LILY VANILLA,1012,BODY MIST PEACH LOVE,1003,DETTOL OFFER,1001,BRAHMOL HAIR OIL,1014,FLOROZONE BRIGHTENING LOT 200 ML,20010005,SMS AGENCIES,VELLORE,Tamil Nadu,8,0.16,0.000000000,0.00,0.000000000,0.00,9.000000000,68.18,0.000000000,0.00,0.000000000,0.00,0.000000000,0.00,757.60,757.60,825.78,757.600
2001,HRIPL - CHENNAI,10,7000000,STREAX PRO PRE HAIR COL CREM BLD-60 ML,1001,FLOROZONE,1011,C-GLOSS,112,HAIR CARE,1009,BOTTLE,1020,PETROLEUM JELLY,1008,BODY MIST LILY VANILLA,1012,BODY MIST PEACH LOVE,1003,DETTOL OFFER,1001,BRAHMOL HAIR OIL,1014,FLOROZONE BRIGHTENING LOT 200 ML,20010001,A.S.ENTERPRISES,CHENNAI,Tamil Nadu,1,0.02,0.000000000,0.00,0.000000000,0.00,9.000000000,8.52,0.000000000,0.00,0.000000000,0.00,0.000000000,0.00,94.70,94.70,103.22,94.700
